seq_id,tm
31390,61.414677
31391,62.731644
31392,62.451443
31393,62.304817
31394,62.731644
31395,62.731644
31396,62.731644
31397,63.24863
31398,61.830616
31399,61.40379
31400,62.93776
31401,60.51365
31402,61.830616
31403,61.550415
31404,61.830616
31405,62.347603
31406,61.830616
31407,61.830616
31408,61.819633
31409,61.830616
31410,61.830616
31411,61.830616
31412,63.838787
31413,61.414677
31414,62.731644
31415,62.13248
31416,63.43229
31417,60.815514
31418,62.13248
31419,62.13248
31420,62.13248
31421,62.649467
31422,62.13248
31423,62.13248
31424,61.712128
31425,62.13248
31426,62.13248
31427,62.13248
31428,62.731644
31429,62.304817
31430,63.838787
31431,61.414677
31432,62.731644
31433,62.721085
31434,62.13248
31435,61.705654
31436,60.815514
31437,62.13248
31438,62.13248
31439,62.649467
31440,62.13248
31441,62.13248
31442,62.13248
31443,61.712128
31444,62.13248
31445,62.13248
31446,61.85228
31447,62.13248
31448,62.731644
31449,63.838787
31450,61.414677
31451,62.731644
31452,62.731644
31453,62.731644
31454,60.25158
31455,62.731644
31456,62.31129
31457,62.731644
31458,62.13248
31459,61.705654
31460,61.85228
31461,60.815514
31462,62.13248
31463,62.13248
31464,62.13248
31465,61.712128
31466,62.13248
31467,62.13248
31468,62.29426
31469,62.731644
31470,62.304817
31471,62.731644
31472,62.731644
31473,63.24863
31474,62.451443
31475,62.731644
31476,62.731644
31477,62.31129
31478,62.96937
31479,62.731644
31480,62.451443
31481,62.304817
31482,61.414677
31483,62.731644
31484,62.721085
31485,62.29426
31486,62.731644
31487,63.24863
31488,62.481316
31489,63.58846
31490,62.731644
31491,61.45038
31492,63.838787
31493,61.414677
31494,62.731644
31495,62.451443
31496,62.731644
31497,63.24863
31498,62.731644
31499,62.304817
31500,63.838787
31501,61.414677
31502,62.731644
31503,62.731644
31504,62.304817
31505,63.838787
31506,61.414677
31507,62.731644
31508,62.731644
31509,62.731644
31510,63.24863
31511,62.620533
31512,62.731644
31513,62.31129
31514,62.731644
31515,62.13248
31516,61.85228
31517,61.705654
31518,63.43229
31519,60.815514
31520,62.13248
31521,62.13248
31522,62.649467
31523,62.13248
31524,61.712128
31525,62.13248
31526,62.13248
31527,62.13248
31528,62.731644
31529,63.24863
31530,61.414677
31531,62.731644
31532,62.731644
31533,63.24863
31534,62.731644
31535,62.731644
31536,62.731644
31537,62.731644
31538,62.731644
31539,61.414677
31540,62.731644
31541,63.24863
31542,62.731644
31543,62.731644
31544,62.731644
31545,62.731644
31546,62.721085
31547,62.29426
31548,61.414677
31549,62.731644
31550,62.731644
31551,62.731644
31552,62.542545
31553,64.24746
31554,61.36748
31555,62.96937
31556,62.96937
31557,62.731644
31558,62.304817
31559,63.838787
31560,61.414677
31561,62.731644
31562,62.731644
31563,62.731644
31564,61.414677
31565,62.731644
31566,62.731644
31567,62.304817
31568,61.414677
31569,62.731644
31570,62.731644
31571,62.304817
31572,63.838787
31573,61.414677
31574,62.731644
31575,63.24863
31576,62.731644
31577,62.731644
31578,62.31129
31579,62.731644
31580,62.304817
31581,61.414677
31582,62.731644
31583,62.731644
31584,62.731644
31585,62.731644
31586,62.731644
31587,62.731644
31588,63.838787
31589,61.414677
31590,62.731644
31591,62.731644
31592,62.08512
31593,62.731644
31594,62.451443
31595,62.31129
31596,62.731644
31597,61.45038
31598,62.304817
31599,63.838787
31600,61.414677
31601,62.731644
31602,62.731644
31603,62.731644
31604,63.838787
31605,61.414677
31606,62.731644
31607,62.731644
31608,63.24863
31609,62.731644
31610,62.731644
31611,62.731644
31612,62.31129
31613,62.731644
31614,62.731644
31615,62.304817
31616,63.838787
31617,61.414677
31618,62.731644
31619,62.731644
31620,62.731644
31621,63.24863
31622,62.731644
31623,62.731644
31624,62.731644
31625,62.731644
31626,62.731644
31627,62.304817
31628,63.838787
31629,62.731644
31630,62.731644
31631,62.731644
31632,63.24863
31633,62.451443
31634,62.31129
31635,62.731644
31636,62.731644
31637,62.731644
31638,62.75992
31639,61.45038
31640,62.304817
31641,61.414677
31642,62.451443
31643,62.731644
31644,62.731644
31645,62.731644
31646,63.24863
31647,62.731644
31648,62.731644
31649,62.731644
31650,62.481316
31651,62.05449
31652,63.58846
31653,62.731644
31654,62.304817
31655,63.838787
31656,61.414677
31657,62.731644
31658,62.731644
31659,63.24863
31660,61.830616
31661,60.51365
31662,61.830616
31663,61.830616
31664,61.830616
31665,61.830616
31666,63.24863
31667,63.838787
31668,61.414677
31669,62.731644
31670,63.24863
31671,62.08512
31672,62.731644
31673,62.13248
31674,61.705654
31675,62.13248
31676,62.13248
